Premise,Hypothesis,Nhãn thật,1. CNN-based,2. RNN-based,3. Transformer,4. External,Nhóm lỗi
"Sáng 23/5, ông Trần Văn Vịnh, Chủ tịch UBND phường Mai Động, cho biết lý do phong tỏa là nam sinh 11 tuổi, sống tại tầng 15, tòa chung cư Park 11, Park Hill, khu đô thị Times City, nghi mắc Covid-19.",Theo thông tin một công chức Nhà nước ở phường Mai Động đã có ít nhất 11 nam sinh đã bị mắc Covid-19.,contradiction,entailment,entailment,entailment,entailment,"Số, định lượng và lượng từ"
"Sau khi xem xét camera giám sát trong khu vực, cảnh sát nhận định nạn nhân đã bị cướp tài sản và sát hại, dẫn tới việc bắt nghi phạm.",Cảnh sát đã phán đoán bằng nhận định sắc bén sau khi xem camera an ninh.,neutral,contradiction,entailment,entailment,entailment,Thông tin thêm không được hỗ trợ
"3h sáng cùng ngày, trái tim của của người hiến đã đập lại trong lồng ngực chàng trai.","3am, một người được tái sinh.",contradiction,entailment,entailment,entailment,entailment,Nhãn gây tranh cãi hoặc giả thuyết tối nghĩa
"Ông Phạm Cao Vỹ, chủ tịch Hiệp hội Du lịch Sa Pa chia sẻ, nhận được lời kêu gọi từ hiệp hội, rất nhiều doanh nghiệp hưởng ứng, tham gia tích cực.",Ông Phạm Cao Vỹ được yêu thích.,neutral,entailment,entailment,entailment,entailment,Kiến thức thế giới và suy luận thực dụng
"Đang nóng ruột vì chưa biết làm thế nào để bay về sớm với hai con gái bị tai nạn, anh Trần Văn Hải bất ngờ nhận được tấm vé từ một người không quen biết.",Anh Trần Văn Hải không có ý định hỏi vé từ một người lạ.,neutral,contradiction,entailment,entailment,entailment,Phủ định và trạng thái tinh thần
"Ôtô của Nam không dừng lại, lách qua hẹp ở lề đường để đi tiếp song bị cảnh sát hóa trang phục sẵn từ các hướng lao tới.",Nam bị cảnh sát bắt.,neutral,contradiction,contradiction,entailment,entailment,Kiến thức thế giới và suy luận thực dụng
"Cảnh sát lập biên bản xử phạt hành chính với chủ cơ sở kinh doanh karaoke vì để khách sử dụng ma túy tại cơ sở kinh doanh và không chấp hành việc tạm dừng hoạt động kinh doanh, dịch vụ trong thời gian phòng chống Covid-19.","Sau vụ việc, có người lại được thêm tiền.",contradiction,entailment,entailment,neutral,entailment,Đồng tham chiếu
"Ở mùa vô địch lần đầu 2017-2018, Guardiola giúp Man City kết thúc giải với 100 điểm.",Guardiola là cầu thủ xuất sắc của Man City.,contradiction,entailment,entailment,entailment,entailment,Kiến thức thế giới và suy luận thực dụng
"Ông cho biết thêm, để được áp dụng khuyến mãi, du khách cần đăng ký đúng đơn vị tham gia chương trình kích cầu theo danh sách hiệp hội công bố.",Khi du khách cần cung cấp thông tin đơn vị tham gia chương trình thì khuyến mãi có thể buộc chuyển cho người khác,contradiction,neutral,neutral,neutral,entailment,Nhãn gây tranh cãi hoặc giả thuyết tối nghĩa
Diện tích đất để xây dựng các loại nhà ở giai đoạn 2020-2025 khoảng 11.796 ha.,Các loại nhà ở giai đoạn 2020-2025 có diện tích khoảng 11.796 ha.,contradiction,neutral,neutral,neutral,neutral,"Số, định lượng và lượng từ"
"Veranda, tạp chí về phong cách sống có từ năm 1987 của Mỹ, mới công bố 30 resort bao trọn các dịch vụ có chất lượng tốt nhất.",Các resort đều được tạp chí Veranda công bố.,neutral,entailment,entailment,contradiction,entailment,"Số, định lượng và lượng từ"
"Các ca xuất viện gồm 3211, 3262, 3268, 3660, đều là nữ, kết quả xét nghiệm âm tính 4 lần, tỉnh táo, không sốt, không ho, phổi hai bên thông khí tốt.",Các bệnh nhân nữ đều trải qua các lần xét nghiệm âm tính thì sẽ được điều trị tiếp tục tại bệnh viện.,contradiction,neutral,neutral,neutral,neutral,Kiến thức thế giới và suy luận thực dụng
