premise,hypothesis,label
"Tọa đàm do Tổng cục Du lịch phối hợp với báo điện tử VnExpress tổ chức ngày 3/4 tại FLC Sầm Sơn, Thanh Hóa.","Đầu tháng 4 có một buổi gặp mặt trao đổi, nói chuyện thân mật của Tổng cục Du lịch.",0
"Bệnh viện Đa khoa tỉnh Bắc Ninh xin hội chẩn 2 trường hợp, trong đó một bệnh nhân 69 tuổi, đang thở máy không xâm nhập nhưng không hiệu quả.","Để giúp các chuyên gia đầu ngành, bệnh viện Đa khoa tỉnh Bắc Ninh đã xin xem xét tình trạng của bệnh nhân 69 tuổi, đang thở máy không xâm nhập nhưng không có tiến triển.",0
"Bộ trưởng Du lịch, tiến sĩ Abdulla Mausoom xác nhận rằng Maldives đang phát triển chương trình ""du lịch 3V"" (Visit, Vaccine and Vacation), cho phép khách du lịch ""Tham quan, Tiêm phòng và Nghỉ dưỡng"".","3V đại diện cho Visit (Tham quan), Vaccine (Tiêm phòng) và Vacation (Nghỉ dưỡng).",0
"Nhờ sự chuyển dịch của người dùng lên trực tuyến, Amazon đã có kết quả kinh doanh quý I vượt qua kỳ vọng của Phố Wall.",Amazon có doanh thu 3 tháng đầu năm vượt trội nhờ sự phát triển của dịch vụ trực tuyến.,0
"Lượng neutron ngày tăng hé lộ FCM đang trải qua chuỗi phản ứng phân hạch mới khi neutron và đập và phân chia hạt nhân của nguyên tố uranium, tạo ra năng lượng.",Hỗn hợp các chất phóng xạ đặc sệt gồm uranium sau khi cứng lại sẽ thành vật liệu chứa nhiên liệu.,0
"Ngày 27/4, Huy cùng ba nghi can khác bị Công an Bình Dương tạm giữ để điều tra hành vi Giết người.",Công an Bình Dương tạm giữ Huy và ba nghi can khác vì hành vi Giết người sáng ngày 27/4.,1
"Vừa qua các cơ quan chức năng và người dân ở Quảng Ninh đã triển khai nhiều giải pháp hiệu quả phòng, chống dịch.",Quảng Ninh đang thực hiện nhiều biện pháp chống dịch có hiệu quả do có chiến lược từ chủ tịch.,1
"Ngày 13/5 là hạn cuối cùng để chủ nhân may mắn của giải xổ số trị giá 26 triệu USD tới nhận thưởng, song không ai xuất hiện.",Chủ nhân của giải xổ số trị giá 26 triệu USD phải tới nhận thưởng trước ngày 13/5.,2
"Trước đây, TOEIC chỉ kiểm tra hai kỹ năng của người học là nghe và đọc.",TOEIC chỉ kiểm tra hai kĩ năng của người đọc là do trước đây cơ sở vật chất không cho phép.,1
BBC Global News là kênh truyền thông lớn và uy tín của thế giới với hơn 450 triệu hộ xem tại 200 quốc gia và vùng lãnh thổ.,Kênh BBC Global News xuất hiện tại 200 quốc gia.,2
"Nguyễn Minh Tú sinh năm 1991 tại TP HCM, từng giành giải bạc Siêu mẫu Việt Nam 2013.",Minh Tú nhiều lần giành giải Siêu mẫu Việt Nam.,2
Các dự án còn lại sẽ đầu tư theo hình thức BOT (xây dựng - kinh doanh - chuyển giao).,Các dự án còn lại sẽ được đầu tư lần lượt theo 3 giai đoạn.,1
"Hôm 3/5, Met Gala công bố host năm nay gồm: vận động viên quần vợt Naomi Osaka, diễn viên Timothée Chalamet, nhà thơ Amanda Gorman và ca sĩ Billie Eilish.",Chủ trì của Met Gala luôn là những nghệ sĩ lớn.,2
"Kết quả truy vết của công an Hải Dương xác định ""bệnh nhân 3051"" khai báo quanh co khi lực lượng chức năng khai thác thông tin điều tra dịch tễ.","Các thủ tục điều tra rườm rà, làm trí nhớ bệnh nhân có phân không minh mẫn mà trả lời sai lệch.",1
"Theo tài khoản Twitter @Rodent950, người gần đây đưa ra dự đoán chính xác về các thiết bị Android chưa ra mắt, hợp đồng giữa Huawei và Leica đã hết hạn và dòng P50 sẽ là những thiết bị cuối cùng dùng công nghệ ống kính của hãng máy ảnh trứ danh này.",@Rodent950 là tên của một tài khoản trên Twitter.,0
"Trong hai ngày 25-26/5, thí sinh phải làm bốn bài thi, gồm Văn, Toán, Tiếng Anh và môn chuyên, thời gian làm bài lần lượt là 120, 90, 60 và 150 phút.","Bốn bài thi gồm Văn, Toán, Tiếng Anh và môn chuyên đã được kiểm định rõ ràng mới cho thí sinh dự thi làm bài.",1
Mùa này là lần thứ ba vô địch trong bốn mùa gần nhất của Man City ở Ngoại hạng Anh.,Đã vô địch được 75% trong số bốn mùa gần nhất của Man City ở Ngoại hạng Anh.,0
"Tối 5/5, tổ công tác Công an thị trấn Hương An kiểm tra hành chính quán karaoke New World, ghi nhận tại hai phòng với 8 thanh niên nghi sử dụng trái phép chất ma túy.",Nơi nguy hiểm nhất là nơi an toàn nhất và ngược lại.,1
Bộ Giáo dục và Đào tạo đồng ý cho Học viện Múa Việt Nam cấp bằng tốt nghiệp trung cấp chuyên nghiệp cho 273 học viên.,Bộ Giáo dục và Đào tạo từ chối cấp bằng tốt nghiệp trung cấp chuyên nghiệp cho Học viện Múa Việt Nam,2
"Chúng tôi định đi 5 ngày 4 đêm, đến tham quan Đà Nẵng là chính, sau đó dự kiến đi chơi thêm các địa điểm xung quanh.",Chúng tôi rất thích đi du lịch tại Đà Nẵng.,1
"iPhone 13 được cho là sẽ có màu mới, cùng lớp vỏ có thể giảm tình trạng bám vân tay và camera được thiết kế lại.",Apple sẽ ngưng sản xuất smartphone kể từ sau dòng iPhone 12.,2
"Ở một số nơi, học sinh các cấp được nghỉ nhưng UBND tỉnh, thành phố vẫn cho phép học sinh cuối cấp như lớp 9, 12 học tập trung để ôn thi vào lớp 10, thi tốt nghiệp THPT, đảm bảo điều kiện phòng chống dịch.",Các học sinh cuối cấp sẽ vẫn phải đến trường ôn tập bình thường để đảm bảo đủ kiến thức cho các em thi chuyển cấp.,2
"Kom Chauncheun qua đời là tổn thất lớn với làng nghệ thuật, tên diễn viên cùng một số vai diễn nổi bật của ông vào top xu hướng trên Twitter.",Những vai diễn của ông luôn ẩn chứa nhiều bài học sâu sắc thông qua tiếng cười.,1
Nhưng điều này không có nghĩa thị trường bất động sản Hong Kong sẽ bị lao dốc vì nguồn cung trên thị trường đang được hấp thụ mạnh.,Nguồn cung trên thị trường có thể khiến thị trường bất động sản ở Hong Kong lao dốc mạnh.,2
"Sau 4 lần thất bại, hôm 5/5 nguyên mẫu Starship mới nhất của SpaceX thực hiện chuyến bay thử lên độ cao lớn suôn sẻ mọi bước từ cất cánh tới hạ cánh.","Sau 4 lần thất bại từ 1/5 đến 4/5, cuối cùng vào 5/5 SpaceX cũng đã thử nghiệm thành công chuyến bay lên độ cao lớn.",1
Ba nạn nhân đang trong thời gian nghỉ hè.,Có cơ hội đi học là điều mà ba nạn nhân ao ước lớn nhất trước khi mất.,1
"Theo điều tra, nhóm Hưng rủ rê các cô gái trẻ từ Bình Thuận, Bà Rịa - Vũng Tàu, miền Tây về làm nhân viên quán mình.",Nhóm Hưng hướng đến đối tượng quý cô trung niên.,2
"Sáng 4/5, hãng thời trang xa xỉ Pháp tung loạt ảnh mới Song Hye Kyo.",Các nhãn hàng thời trang Pháp đều từ chối minh tinh Hàn Quốc.,2
"Nhiều người có điểm thi TOEIC lên đến 600, 700 nhưng lại không có khả năng giao tiếp tiếng Anh và ứng dụng những gì đã học vào công việc.",Có những người không thể sử dụng tiếng Anh thành thục nhưng lại có điểm thi Bài kiểm tra tiếng Anh giao tiếp quốc tế rất cao.,0
"Nhà sản xuất K-ICM ra MV ""Cô độc"" theo phong cách tối giản với kinh phí 5 triệu đồng nhờ bạn bè hỗ trợ.","MV ""Cô độc"" được đầu tư khủng về mặt chi phí.",2
"Victoria Beckham nói đùa ""thà chết còn hơn"" khi được Justin Bieber gửi tặng một đôi dép Crocs.",Victoria Beckham thích Justin Bieber.,0
Quyết định kỷ luật ông Hùng được Ban Thường vụ Tỉnh ủy Đồng Nai công bố chiều 16/4.,Ông Hùng đã lãnh chịu sự trừng phạt và nhận hậu quả.,0
Golfer Mỹ Jordan Spieth mới đây tiết lộ việc nhiễm nCoV và phải cách ly ba tuần tại nhà riêng ở Dallas.,Quy định tại Dallas là người nhiễm nCoV phải cách ly đúng 21 ngày tại đây.,1
"Nhà chức trách cũng đang điều tra 15 người khác liên quan các đường dây chiếm đoạt, mua bán dữ liệu quy mô lớn tại nhiều tỉnh thành trên toàn quốc.",Đường dây quy mô lớn tầm cỡ toàn quốc của hơn 15 người liên quan đến đường dây đang được nhà chức trách điều tra.,0
"Tối 23/4, trên trang cá nhân, Hàn Diệp cho biết bất ngờ khi bị cuốn vào chuyện gia đình Phùng Thiệu Phong.",Hàn Diệp sốc vì liên quan chuyện gia đình người khác.,0
TAND Tối cao yêu cầu không tổ chức phiên tòa tập trung hơn 20 người trong một phòng; tòa tại các địa phương đang cách ly xã hội phải tạm dừng xét xử.,Tại các địa phương đang thực hiện cách li giãn cách xã hội thì các phiên toàn vẫn diễn ra bình thường và có nhiều người đến xem.,2
"Ngày 10/5, Công an Phú Yên đã khởi tố vụ án Vi phạm quy định về quản lý, sử dụng tài sản nhà nước gây thất thoát lãng phí theo Điều 219 BLHS.",Bộ luật Hình sự không có điều luật về các vi phạm liên quan đến ngân sách Nhà nước.,2
"""Tôm hùm pha lê"" mắc hội chứng sắc tố leucism khiến con vật trông nhợt nhạt hơn so với đồng loại.","Hội chứng sắc tố Ieucism làm cho con tôm hùm trở nên lấp lánh như pha lê, màu đậm hơn so với cùng loại.",2
"Kia chưa công bố chi tiết về thông số động cơ, trong khi bản hiện hành lựa chọn với ba động cơ xăng.","Hiện tại, khách hàng có thể lựa chọn động cơ xăng phù hợp theo nhu cầu trong ba loại mà Kia cung cấp.",0
Hiện Musk lại nhận lời tham gia Ban giám đốc của Endeavour để chuẩn bị cho quá trình phát hành cổ phiếu lần đầu của công ty cuối năm nay.,Thời điểm Musk trở thành thành viên của Endeavour không phải vào tháng 12.,0
"Theo Digitimes, Xiaomi và Oppo có thể tham gia một liên minh sản xuất chip xử lý 5G cùng một công ty Trung Quốc khác tên Unisoc (trước đây là Spreadtrum).","Công ty Spreadtrum được điều hành bởi 3 ông lớn trong ngành công nghệ là Digitimes, Xiaomi và Oppo.",2
"Nhóm chuyên gia phát hiện rắn biển mũi ngắn, loài rắn được cho là tuyệt chủng nhiều năm, trong lúc nghiên cứu rạn san hô Ashmore ở bang Western Australia.",Rắn biển mũi ngắn được phát hiện ở phía đông nước Úc.,2
"Theo BGR, với tỷ lệ từ chối App Tracking Transparency cao, các công ty cung cấp ứng dụng dựa trên quảng cáo có thể gặp khó khăn do không thể đề xuất quảng cáo được cá nhân hóa dựa trên thói quen người dùng thông qua IDFA.","Thông qua IDFA, các công ty cung cấp ứng dụng dựa trên quảng cáo có thể biết được thói quen và thu thập được các thông tin riêng tư khác của người dùng, từ đó đề xuất cho họ các quảng cáo được cá nhân hóa.",1
"Gần đây, nhiều công ty chứng khoán có dấu hiệu ""lách"" huy động tiền từ khách hàng dưới hình thức hợp tác đầu tư hoặc hợp tác kinh doanh.","Tiền huy động từ khách hàng không được nhiều công ty ""lách"" dưới hình thức hợp tác đầu tư.",2
"VN-Index chốt phiên tại 1.229,55 điểm, tăng gần 10 điểm so với tham chiếu.","Chỉ cần thêm hơn 1 điểm nữa, VN - Index sẽ chạm mức 1230 điểm.",2
"CEO Facebook cho biết video nướng thịt vào năm 2016 là khoảnh khắc ""gây bão"" về chính mình mà ông yêu thích nhất.",CEO Facebook đều kín tiếng trong đời tư.,2
"Emilia Hemsley, một khách du lịch, quay video cuộc đụng độ giữa hai con cá sấu vào cuối tháng 3.",Emilia Hemsley đã quay video về hai con cá sấu vào cuối quý 1.,0
"Thanh niên hàng xóm đứng trên bệ điều hòa, dùng tay đỡ bé gái kẹt đầu dưới cửa sắt tầng 6 tòa chung cư tỉnh Hồ Bắc.",Tòa chung cư nơi bé gái kẹt đầu dưới cửa sắt ở tỉnh Hồ Bắc có tất cả 30 tầng.,1
Không rõ va chạm ra sao nhưng chiếc xe ba bánh chở người đàn ông và một bé gái mắc vào đuôi xe ben và bị lôi theo.,Vụ việc xe ba bánh bị mắc vào đuôi xe ben lôi theo gây chấn động báo chí.,1
"VNPT cho biết bình quân mỗi lãnh đạo quản lý, gồm thành viên HĐQT, tổng giám đốc, phó tổng giám đốc, kế toán trưởng, kiểm soát viên có thu nhập bình quân 117,6 triệu đồng một tháng, tăng 16,6% so với kế hoạch.",Các lãnh đạo quản lý có thù lao bình quân hơn 100 triệu đồng mỗi tháng.,0
"Sau hơn 10 ngày phát động, chiến dịch ""Triệu ly sữa yêu thương, triệu nụ cười hạnh phúc"" do Vinamilk và Quỹ sữa Vươn cao Việt Nam tổ chức đã nhận sự hưởng ứng nhiệt tình của cộng đồng mạng vì ý nghĩa tích cực ""kép"" mà chương trình mang lại cho chính người tham gia lẫn các em nhỏ kém may mắn trên cả nước.",Chiến dịch được tổ chức chủ yếu quyên góp trên nền tảng Internet đã nhận được phản hồi tích cực từ người tham gia lẫn niềm vui của các em nhỏ.,1
"Đến quán cà phê từng là nơi hoạt động của Biệt động Sài Gòn, thực khách có thể thử bánh quẩy chấm cà phê và cơm tấm kim chi.",Thành phần chính của bánh quẩy chính là làm từ bột mỳ nguyên chất.,0
Thị trường chứng khoán duy trì trạng thái hưng phấn trước đợt nghỉ lễ.,Trước đợt nghỉ lễ thị trường chứng khoán rất sôi động.,0
"Amazon vừa công bố doanh thu 3 tháng đầu năm đạt 108,5 tỷ USD, tăng 44% so với cùng kỳ 2020.","Doanh thu quý I của Amazon đạt trên 108 tỷ USD, tăng gần một nửa so với quý I năm 2020.",0
"Để mang lại sự riêng tư và tách biệt, công trình được bao quanh bởi những bức tường đá có nguồn gốc địa phương.",Công trình có bức tường đá có nguồn gốc địa phương do chủ quyên góp.,1
Man Utd bị Aston Villa dẫn 1-0 từ hiệp một.,Aston tuy có phong độ tốt trên sân nhưng đã không thể ghi bàn.,2
"Trong thông báo hôm 29/3, Apple cho biết sẽ mở rộng chương trình Nhà sửa chữa độc lập (Independent Repair Provider - IRP) ra toàn cầu.",Trong tháng 3 chương trình Nhà sửa chữa độc lập sẽ mở rộng ra toàn cầu.,1
"Tháng 4/2017, Hội đồng đấu giá quyền sử dụng đất tỉnh Phú Yên thông báo đấu giá 4 phân khu của khô đô thị này theo hình thức bán sỉ từng khu.","Khu đô thị không thuộc quyền sở hữu của quá nhiều người, tổ chức.",0
"Một bé gái, hai bé trai 6-7 tuổi là họ hàng ở huyện Hoài Ân, trong lúc chơi đùa bị trượt chân xuống con suối cạnh nhà, tử vong.","Tuổi thọ con người không phải lúc nào cũng dài, và nó không phải lúc nào cũng báo trước.",0
"Chốt được thời gian, địa điểm, Đông đến thuê phòng trước, đặt camera quay lén.",Đông đã lên kế hoạch cho cuộc hẹn.,0
"Quyết định này phù hợp với quy định ""hạ nhiệt ly hôn"" - được chính phủ Trung Quốc đưa ra từ đầu năm nay để ngăn chặn ""ly hôn bốc đồng"".",Rất nhiều cuộc ly hôn diễn ra khi vợ hoặc chồng trong tình trạng mất bình tĩnh trên đất nước tỷ dân.,0
Ông Phú cố thủ trong nhà.,Ông Phú không chịu ra khỏi nhà.,0
